street-custodian	local-authority
3010	local-authority-eng:BAE
3015	local-authority-eng:BRT
3020	local-authority-eng:GED
3025	local-authority-eng:MAS
3030	local-authority-eng:NEA
3040	local-authority-eng:RUS
3055	local-authority-eng:NTT
3060	local-authority-eng:NGM
3100	local-authority-eng:OXF
3105	local-authority-eng:CHR
3110	local-authority-eng:OXO
3115	local-authority-eng:SOX
3120	local-authority-eng:VAL
3125	local-authority-eng:WOX
3240	local-authority-eng:TFW
3245	local-authority-eng:SHR
3300	local-authority-eng:SOM
3305	local-authority-eng:MEN
3310	local-authority-eng:SEG
3315	local-authority-eng:TAU
3320	local-authority-eng:WSO
3325	local-authority-eng:SSO
3405	local-authority-eng:CAN
3410	local-authority-eng:EST
3415	local-authority-eng:LIF
3420	local-authority-eng:NEC
3425	local-authority-eng:STA
3430	local-authority-eng:SST
3435	local-authority-eng:STF
3445	local-authority-eng:TAW
3450	local-authority-eng:STS
3455	local-authority-eng:STE
3500	local-authority-eng:SFK
3505	local-authority-eng:BAB
3510	local-authority-eng:FOR
3515	local-authority-eng:IPS
3520	local-authority-eng:MSU
3525	local-authority-eng:SED
3530	local-authority-eng:SUF
3535	local-authority-eng:WAV
3600	local-authority-eng:SRY
3605	local-authority-eng:ELM
3610	local-authority-eng:EPS
3615	local-authority-eng:GRT
3620	local-authority-eng:MOL
3625	local-authority-eng:REI
3630	local-authority-eng:RUN
3635	local-authority-eng:SPE
3640	local-authority-eng:SUR
3645	local-authority-eng:TAN
3650	local-authority-eng:WAE
3655	local-authority-eng:WOI
3700	local-authority-eng:WKS
3705	local-authority-eng:NWA
3710	local-authority-eng:NUN
3715	local-authority-eng:RUG
3720	local-authority-eng:STR
3725	local-authority-eng:WAW
3800	local-authority-eng:WSX
3805	local-authority-eng:ADU
3810	local-authority-eng:ARU
3815	local-authority-eng:CHI
3820	local-authority-eng:CRW
3825	local-authority-eng:HOR
3830	local-authority-eng:MSS
3835	local-authority-eng:WOT
3935	local-authority-eng:SWD
3940	local-authority-eng:WIL
4205	local-authority-eng:BOL
4210	local-authority-eng:BUR
4215	local-authority-eng:MAN
4220	local-authority-eng:OLD
4225	local-authority-eng:RCH
4230	local-authority-eng:SLF
4235	local-authority-eng:SKP
4240	local-authority-eng:TAM
4245	local-authority-eng:TRF
4250	local-authority-eng:WGN
4305	local-authority-eng:KWL
4310	local-authority-eng:LIV
4315	local-authority-eng:SHN
4320	local-authority-eng:SFT
4325	local-authority-eng:WRL
4405	local-authority-eng:BNS
4410	local-authority-eng:DNC
4415	local-authority-eng:ROT
4420	local-authority-eng:SHF
4505	local-authority-eng:GAT
4510	local-authority-eng:NET
4515	local-authority-eng:NTY
4520	local-authority-eng:STY
4525	local-authority-eng:SND
4605	local-authority-eng:BIR
4610	local-authority-eng:COV
4615	local-authority-eng:DUD
4620	local-authority-eng:SAW
4625	local-authority-eng:SOL
4630	local-authority-eng:WLL
4635	local-authority-eng:WLV
4705	local-authority-eng:BRD
4710	local-authority-eng:CLD
4710	local-authority-eng:CLD
4715	local-authority-eng:KIR
4720	local-authority-eng:LDS
4725	local-authority-eng:WKF
5030	local-authority-eng:LND
5060	local-authority-eng:BDG
5090	local-authority-eng:BNE
5120	local-authority-eng:BEX
5150	local-authority-eng:BEN
5180	local-authority-eng:BRY
5210	local-authority-eng:CMD
5240	local-authority-eng:CRY
5270	local-authority-eng:EAL
5300	local-authority-eng:ENF
5330	local-authority-eng:GRE
5360	local-authority-eng:HCK
5390	local-authority-eng:HMF
5420	local-authority-eng:HRY
5450	local-authority-eng:HRW
5480	local-authority-eng:HAV
5510	local-authority-eng:HIL
5540	local-authority-eng:HNS
5570	local-authority-eng:ISL
5600	local-authority-eng:KEC
