street-custodian	administrative-area	town	locality	name	place
1950	HERTFORDSHIRE	HATFIELD			74550613
1950	HERTFORDSHIRE	HATFIELD	BROOKMANS PARK		74550613
1950	HERTFORDSHIRE	HATFIELD	ESSENDON		74570574
1950	HERTFORDSHIRE	HATFIELD	WELHAM GREEN		74550613
1950	HERTFORDSHIRE	HERTFORD			74573674
1950	HERTFORDSHIRE	KNEBWORTH	WOOLMER GREEN		74569874
1950	HERTFORDSHIRE	POTTERS BAR	CUFFLEY		74569868
1950	HERTFORDSHIRE	POTTERS BAR	LITTLE HEATH		74569533
1950	HERTFORDSHIRE	POTTERS BAR	NORTHAW		74569534
1950	HERTFORDSHIRE	WELWYN			74553174
1950	HERTFORDSHIRE	WELWYN	DIGSWELL		74552860
1950	HERTFORDSHIRE	WELWYN	WELWYN		74553174
1950	HERTFORDSHIRE	WELWYN GARDEN CITY			74550640
