street-custodian	administrative-area	town	locality	name	place
1915	HERTFORDSHIRE	ALBURY			74573331
1915	HERTFORDSHIRE	ANSTEY			74571977
1915	HERTFORDSHIRE	ARDELEY			74572987
1915	HERTFORDSHIRE	ASTON			74570582
1915	HERTFORDSHIRE	BAYFORD			74570215
1915	HERTFORDSHIRE	BENINGTON			74570581
1915	HERTFORDSHIRE	BISHOPS STORTFORD			74572318
1915	HERTFORDSHIRE	BRAUGHING			74573335
1915	HERTFORDSHIRE	BUNTINGFORD			74572639
1915	HERTFORDSHIRE	DANE END			74542020
1915	HERTFORDSHIRE	DATCHWORTH			74569542
1915	HERTFORDSHIRE	EPPING GREEN			74570214
1915	HERTFORDSHIRE	FURNEUX PELHAM			74570558
1915	HERTFORDSHIRE	GREAT AMWELL			74573676
1915	HERTFORDSHIRE	GREAT HORMEAD			74570923
1915	HERTFORDSHIRE	HERTFORD			74573674
1915	HERTFORDSHIRE	HERTFORD	BENGEO		74573675
1915	HERTFORDSHIRE	HERTFORD HEATH			74570213
1915	HERTFORDSHIRE	HERTINGFORDBURY			74570579
1915	HERTFORDSHIRE	HIGH CROSS			74574014
1915	HERTFORDSHIRE	HIGH WYCH			74571295
1915	HERTFORDSHIRE	HUNSDON			74571649
1915	HERTFORDSHIRE	LITTLE HADHAM			74573008
1915	HERTFORDSHIRE	MUCH HADHAM			74571653
1915	HERTFORDSHIRE	PERRY GREEN			74571652
1915	HERTFORDSHIRE	PUCKERIDGE			74573334
1915	HERTFORDSHIRE	SAWBRIDGEWORTH			74570942
1915	HERTFORDSHIRE	SPELLBROOK			74571292
1915	HERTFORDSHIRE	STANSTEAD ABBOTTS			74573327
1915	HERTFORDSHIRE	TEWIN			74568841
1915	HERTFORDSHIRE	THUNDRIDGE			74574015
1915	HERTFORDSHIRE	TONWELL			74574017
1915	HERTFORDSHIRE	WALKERN			74572986
1915	HERTFORDSHIRE	WARE			74573673
1915	HERTFORDSHIRE	WARESIDE			74572001
1915	HERTFORDSHIRE	WATTON AT STONE			74569541
1915	HERTFORDSHIRE	WATTON AT STONE	WOODHALL PARK		74569541
1915	HERTFORDSHIRE	WIDFORD			74571651
