street-custodian	administrative-area	town	locality	name	place
2001	EAST RIDING OF YORKSHIRE	FULL SUTTON			74555228
2001	EAST RIDING OF YORKSHIRE	NORTH CAVE			74543899
2001	EAST RIDING OF YORKSHIRE	SOUTH CAVE			74543628
