street-custodian	administrative-area	town	locality	name	place
1920	HERTFORDSHIRE	ALDENHAM			74553823
1920	HERTFORDSHIRE	BARNET			
1920	HERTFORDSHIRE	BARNET	BENTLEY HEATH		74577592
1920	HERTFORDSHIRE	BOREHAMWOOD			74553436
1920	HERTFORDSHIRE	BUSHEY			74553435
1920	HERTFORDSHIRE	BUSHEY HEATH			74553434
1920	HERTFORDSHIRE	COLNEY HEATH			74552460
1920	HERTFORDSHIRE	ELSTREE			74553433
1920	HERTFORDSHIRE	LETCHMORE HEATH			74553820
1920	HERTFORDSHIRE	LONDON COLNEY			74552829
1920	HERTFORDSHIRE	LONDON COLNEY	BOWMANS FARM	London Colney	74552829
1920	HERTFORDSHIRE	POTTERS BAR			74569533
1920	HERTFORDSHIRE	RADLETT			74553437
1920	HERTFORDSHIRE	RADLETT	SHENLEY		74552512
1920	HERTFORDSHIRE	RIDGE			74552511
1920	HERTFORDSHIRE	SHENLEY			74552512
1920	HERTFORDSHIRE	SOUTH MIMMS			74550611
1920	HERTFORDSHIRE	ST ALBANS	COLNEY ST	St Albans	74550620
1920	HERTFORDSHIRE	WATFORD			74562546
1920	HERTFORDSHIRE	WATFORD	ALDENHAM		74553823
1920	HERTFORDSHIRE	WATFORD	LETCHMORE HEATH		74553820
1920	HERTFORDSHIRE	WELL END			74553070
