street-custodian	administrative-area	town	locality	name	place
1930	HERTFORDSHIRE	BRICKET WOOD			74552828
1930	HERTFORDSHIRE	HARPENDEN			74552839
1930	HERTFORDSHIRE	HARPENDEN	BATFORD		74550649
1930	HERTFORDSHIRE	LONDON COLNEY			74552829
1930	HERTFORDSHIRE	RADLETT	SHENLEY		74552512
1930	HERTFORDSHIRE	REDBOURN			74550634
1930	HERTFORDSHIRE	SANDRIDGE			74550624
1930	HERTFORDSHIRE	ST ALBANS			74550620
1930	HERTFORDSHIRE	ST ALBANS	CHISWELL GREEN		74339899
1930	HERTFORDSHIRE	ST ALBANS	COLNEY HEATH		74552460
1930	HERTFORDSHIRE	ST ALBANS	PARK STREET		74552832
1930	HERTFORDSHIRE	WHEATHAMPSTEAD			74550647
