street-custodian	administrative-area	town	locality	name	place
1940	HERTFORDSHIRE	ABBOTS LANGLEY			74552842
1940	HERTFORDSHIRE	BEDMOND			74553162
1940	HERTFORDSHIRE	CARPENDERS PARK			74561576
1940	HERTFORDSHIRE	CHORLEYWOOD			74561970
1940	HERTFORDSHIRE	CROXLEY GREEN			74562752
1940	HERTFORDSHIRE	LANGLEYBURY		Kings Langley	74550630
1940	HERTFORDSHIRE	MAPLE CROSS			74561966
1940	HERTFORDSHIRE	MILL END			74560535
1940	HERTFORDSHIRE	MOOR PARK			74561579
1940	HERTFORDSHIRE	NORTHWOOD			74541727
1940	HERTFORDSHIRE	RICKMANSWORTH			74562751
1940	HERTFORDSHIRE	SARRATT			74561177
1940	HERTFORDSHIRE	SOUTH OXHEY			74561577
